时间,交易量中位数
"2009-03-16 00:00","50",
"2009-03-17 00:00","50",
"2009-03-18 00:00","50",
"2009-03-19 00:00","50",
"2009-03-20 00:00","50",
"2009-03-21 00:00","50",
"2009-03-22 00:00","50",
"2009-03-23 00:00","50",
"2009-03-24 00:00","50",
"2009-03-25 00:00","50",
"2009-03-26 00:00","50",
"2009-03-27 00:00","50",
"2009-03-28 00:00","50",
"2009-03-29 00:00","50",
"2009-03-30 00:00","50",
"2009-03-31 00:00","50",
"2009-04-01 00:00","50",
"2009-04-02 00:00","50",
"2009-04-03 00:00","50",
"2009-04-04 00:00","50",
"2009-04-05 00:00","50",
"2009-04-06 00:00","50",
"2009-04-07 00:00","50",
"2009-04-08 00:00","50",
"2009-04-09 00:00","50",
"2009-04-10 00:00","50",
"2009-04-11 00:00","50",
"2009-04-12 00:00","50",
"2009-04-13 00:00","50",
"2009-04-14 00:00","50",
"2009-04-15 00:00","50",
"2009-04-16 00:00","50",
"2009-04-17 00:00","50",
"2009-04-18 00:00","50",
"2009-04-19 00:00","50",
"2009-04-20 00:00","50",
"2009-04-21 00:00","50",
"2009-04-22 00:00","50",
"2009-04-23 00:00","50",
"2009-04-24 00:00","50",
"2009-04-25 00:00","50",
"2009-04-26 00:00","50",
"2009-04-27 00:00","50",
"2009-04-28 00:00","50",
"2009-04-29 00:00","50",
"2009-04-30 00:00","50",
"2009-05-01 00:00","50",
"2009-05-02 00:00","50",
"2009-05-03 00:00","50",
"2009-05-04 00:00","50",
"2009-05-05 00:00","50",
"2009-05-06 00:00","50",
"2009-05-07 00:00","50",
"2009-05-08 00:00","50",
"2009-05-09 00:00","50",
"2009-05-10 00:00","50",
"2009-05-11 00:00","50",
"2009-05-12 00:00","50",
"2009-05-13 00:00","50",
"2009-05-14 00:00","50",
"2009-05-15 00:00","50",
"2009-05-16 00:00","50",
"2009-05-17 00:00","50",
"2009-05-18 00:00","50",
"2009-05-19 00:00","50",
"2009-05-20 00:00","50",
"2009-05-21 00:00","50",
"2009-05-22 00:00","50",
"2009-05-23 00:00","50",
"2009-05-24 00:00","50",
"2009-05-25 00:00","50",
"2009-05-26 00:00","50",
"2009-05-27 00:00","50",
"2009-05-28 00:00","50",
"2009-05-29 00:00","50",
"2009-05-30 00:00","50",
"2009-05-31 00:00","50",
"2009-06-01 00:00","50",
"2009-06-02 00:00","50",
"2009-06-03 00:00","50",
"2009-06-04 00:00","50",
"2009-06-05 00:00","50",
"2009-06-06 00:00","50",
"2009-06-07 00:00","50",
"2009-06-08 00:00","50",
"2009-06-09 00:00","50",
"2009-06-10 00:00","50",
"2009-06-11 00:00","50",
"2009-06-12 00:00","50",
"2009-06-13 00:00","50",
"2009-06-14 00:00","50",
"2009-06-15 00:00","50",
"2009-06-16 00:00","50",
"2009-06-17 00:00","50",
"2009-06-18 00:00","50",
"2009-06-19 00:00","50",
"2009-06-20 00:00","50",
"2009-06-21 00:00","50",
"2009-06-22 00:00","50",
"2009-06-23 00:00","50",
"2009-06-24 00:00","50",
"2009-06-25 00:00","50",
"2009-06-26 00:00","50",
"2009-06-27 00:00","50",
"2009-06-28 00:00","50",
"2009-06-29 00:00","50",
"2009-06-30 00:00","50",
"2009-07-01 00:00","50",
"2009-07-02 00:00","50",
"2009-07-03 00:00","50",
"2009-07-04 00:00","50",
"2009-07-05 00:00","50",
"2009-07-06 00:00","50",
"2009-07-07 00:00","50",
"2009-07-08 00:00","50",
"2009-07-09 00:00","50",
"2009-07-10 00:00","50",
"2009-07-11 00:00","50",
"2009-07-12 00:00","50",
"2009-07-13 00:00","50",
"2009-07-14 00:00","50",
"2009-07-15 00:00","50",
"2009-07-16 00:00","50",
"2009-07-17 00:00","50",
"2009-07-18 00:00","50",
"2009-07-19 00:00","50",
"2009-07-20 00:00","50",
"2009-07-21 00:00","50",
"2009-07-22 00:00","50",
"2009-07-23 00:00","50",
"2009-07-24 00:00","50",
"2009-07-25 00:00","50",
"2009-07-26 00:00","50",
"2009-07-27 00:00","50",
"2009-07-28 00:00","50",
"2009-07-29 00:00","50",
"2009-07-30 00:00","50",
"2009-07-31 00:00","50",
"2009-08-01 00:00","50",
"2009-08-02 00:00","50",
"2009-08-03 00:00","50",
"2009-08-04 00:00","50",
"2009-08-05 00:00","50",
"2009-08-06 00:00","50",
"2009-08-07 00:00","50",
"2009-08-08 00:00","50",
"2009-08-09 00:00","50",
"2009-08-10 00:00","50",
"2009-08-11 00:00","50",
"2009-08-12 00:00","50",
"2009-08-13 00:00","50",
"2009-08-14 00:00","50",
"2009-08-15 00:00","50",
"2009-08-16 00:00","50",
"2009-08-17 00:00","50",
"2009-08-18 00:00","50",
"2009-08-19 00:00","50",
"2009-08-20 00:00","50",
"2009-08-21 00:00","50",
"2009-08-22 00:00","50",
"2009-08-23 00:00","50",
"2009-08-24 00:00","50",
"2009-08-25 00:00","50",
"2009-08-26 00:00","50",
"2009-08-27 00:00","50",
"2009-08-28 00:00","50",
"2009-08-29 00:00","50",
"2009-08-30 00:00","50",
"2009-08-31 00:00","50",
"2009-09-01 00:00","50",
"2009-09-02 00:00","50",
"2009-09-03 00:00","50",
"2009-09-04 00:00","50",
"2009-09-05 00:00","50",
"2009-09-06 00:00","50",
"2009-09-07 00:00","50",
"2009-09-08 00:00","50",
"2009-09-09 00:00","50",
"2009-09-10 00:00","50",
"2009-09-11 00:00","50",
"2009-09-12 00:00","50",
"2009-09-13 00:00","50",
"2009-09-14 00:00","50",
"2009-09-15 00:00","50",
"2009-09-16 00:00","50",
"2009-09-17 00:00","50",
"2009-09-18 00:00","50",
"2009-09-19 00:00","50",
"2009-09-20 00:00","50",
"2009-09-21 00:00","50",
"2009-09-22 00:00","50",
"2009-09-23 00:00","50",
"2009-09-24 00:00","50",
"2009-09-25 00:00","50",
"2009-09-26 00:00","50",
"2009-09-27 00:00","50",
"2009-09-28 00:00","50",
"2009-09-29 00:00","50",
"2009-09-30 00:00","50",
"2009-10-01 00:00","50",
"2009-10-02 00:00","50",
"2009-10-03 00:00","50",
"2009-10-04 00:00","50",
"2009-10-05 00:00","50",
"2009-10-06 00:00","50",
"2009-10-07 00:00","50",
"2009-10-08 00:00","50",
"2009-10-09 00:00","50",
"2009-10-10 00:00","50",
"2009-10-11 00:00","50",
"2009-10-12 00:00","50",
"2009-10-13 00:00","50",
"2009-10-14 00:00","50",
"2009-10-15 00:00","50",
"2009-10-16 00:00","50",
"2009-10-17 00:00","50",
"2009-10-18 00:00","50",
"2009-10-19 00:00","50",
"2009-10-20 00:00","50",
"2009-10-21 00:00","50",
"2009-10-22 00:00","50",
"2009-10-23 00:00","50",
"2009-10-24 00:00","50",
"2009-10-25 00:00","50",
"2009-10-26 00:00","50",
"2009-10-27 00:00","50",
"2009-10-28 00:00","50",
"2009-10-29 00:00","50",
"2009-10-30 00:00","50",
"2009-10-31 00:00","50",
"2009-11-01 00:00","50",
"2009-11-02 00:00","50",
"2009-11-03 00:00","50",
"2009-11-04 00:00","50",
"2009-11-05 00:00","50",
"2009-11-06 00:00","50",
"2009-11-07 00:00","50",
"2009-11-08 00:00","50",
"2009-11-09 00:00","50",
"2009-11-10 00:00","50",
"2009-11-11 00:00","50",
"2009-11-12 00:00","50",
"2009-11-13 00:00","50",
"2009-11-14 00:00","50",
"2009-11-15 00:00","50",
"2009-11-16 00:00","50",
"2009-11-17 00:00","50",
"2009-11-18 00:00","50",
"2009-11-19 00:00","50",
"2009-11-20 00:00","50",
"2009-11-21 00:00","50",
"2009-11-22 00:00","50",
"2009-11-23 00:00","50",
"2009-11-24 00:00","50",
"2009-11-25 00:00","50",
"2009-11-26 00:00","50",
"2009-11-27 00:00","50",
"2009-11-28 00:00","50",
"2009-11-29 00:00","50",
"2009-11-30 00:00","50",
"2009-12-01 00:00","50",
"2009-12-02 00:00","50",
"2009-12-03 00:00","50",
"2009-12-04 00:00","50",
"2009-12-05 00:00","50",
"2009-12-06 00:00","50",
"2009-12-07 00:00","50",
"2009-12-08 00:00","50",
"2009-12-09 00:00","50",
"2009-12-10 00:00","50",
"2009-12-11 00:00","50",
"2009-12-12 00:00","50",
"2009-12-13 00:00","50",
"2009-12-14 00:00","50",
"2009-12-15 00:00","50",
"2009-12-16 00:00","50",
"2009-12-17 00:00","50",
"2009-12-18 00:00","50",
"2009-12-19 00:00","50",
"2009-12-20 00:00","50",
"2009-12-21 00:00","50",
"2009-12-22 00:00","50",
"2009-12-23 00:00","50",
"2009-12-24 00:00","50",
"2009-12-25 00:00","50",
"2009-12-26 00:00","50",
"2009-12-27 00:00","50",
"2009-12-28 00:00","50",
"2009-12-29 00:00","50",
"2009-12-30 00:00","50",
"2009-12-31 00:00","50",
"2010-01-01 00:00","50",
"2010-01-02 00:00","50",
"2010-01-03 00:00","50",
"2010-01-04 00:00","50",
"2010-01-05 00:00","50",
"2010-01-06 00:00","50",
"2010-01-07 00:00","50",
"2010-01-08 00:00","50",
"2010-01-09 00:00","50",
"2010-01-10 00:00","50",
"2010-01-11 00:00","50",
"2010-01-12 00:00","50",
"2010-01-13 00:00","50",
"2010-01-14 00:00","50",
"2010-01-15 00:00","50",
"2010-01-16 00:00","50",
"2010-01-17 00:00","50",
"2010-01-18 00:00","50",
"2010-01-19 00:00","50",
"2010-01-20 00:00","50",
"2010-01-21 00:00","50",
"2010-01-22 00:00","50",
"2010-01-23 00:00","50",
"2010-01-24 00:00","50",
"2010-01-25 00:00","50",
"2010-01-26 00:00","50",
"2010-01-27 00:00","50",
"2010-01-28 00:00","50",
"2010-01-29 00:00","50",
"2010-01-30 00:00","50",
"2010-01-31 00:00","50",
"2010-02-01 00:00","50",
"2010-02-02 00:00","50",
"2010-02-03 00:00","50",
"2010-02-04 00:00","50",
"2010-02-05 00:00","50",
"2010-02-06 00:00","50",
"2010-02-07 00:00","50",
"2010-02-08 00:00","50",
"2010-02-09 00:00","50",
"2010-02-10 00:00","50",
"2010-02-11 00:00","50",
"2010-02-12 00:00","50",
"2010-02-13 00:00","50",
"2010-02-14 00:00","50",
"2010-02-15 00:00","50",
"2010-02-16 00:00","50",
"2010-02-17 00:00","50",
"2010-02-18 00:00","50",
"2010-02-19 00:00","50",
"2010-02-20 00:00","50",
"2010-02-21 00:00","50",
"2010-02-22 00:00","50",
"2010-02-23 00:00","50",
"2010-02-24 00:00","50",
"2010-02-25 00:00","50",
"2010-02-26 00:00","50",
"2010-02-27 00:00","50",
"2010-02-28 00:00","50",
"2010-03-01 00:00","50",
"2010-03-02 00:00","50",
"2010-03-03 00:00","50",
"2010-03-04 00:00","50",
"2010-03-05 00:00","50",
"2010-03-06 00:00","50",
"2010-03-07 00:00","50",
"2010-03-08 00:00","50",
"2010-03-09 00:00","50",
"2010-03-10 00:00","50",
"2010-03-11 00:00","50",
"2010-03-12 00:00","50",
"2010-03-13 00:00","50",
"2010-03-14 00:00","50",
"2010-03-15 00:00","50",
"2010-03-16 00:00","50",
"2010-03-17 00:00","50",
"2010-03-18 00:00","50",
"2010-03-19 00:00","50",
"2010-03-20 00:00","50",
"2010-03-21 00:00","50",
"2010-03-22 00:00","50",
"2010-03-23 00:00","50",
"2010-03-24 00:00","50",
"2010-03-25 00:00","50",
"2010-03-26 00:00","50",
"2010-03-27 00:00","50",
"2010-03-28 00:00","50",
"2010-03-29 00:00","50",
"2010-03-30 00:00","50",
"2010-03-31 00:00","50",
"2010-04-01 00:00","50",
"2010-04-02 00:00","50",
"2010-04-03 00:00","50",
"2010-04-04 00:00","50",
"2010-04-05 00:00","50",
"2010-04-06 00:00","50",
"2010-04-07 00:00","50",
"2010-04-08 00:00","50",
"2010-04-09 00:00","50",
"2010-04-10 00:00","50",
"2010-04-11 00:00","50",
"2010-04-12 00:00","50",
"2010-04-13 00:00","50",
"2010-04-14 00:00","50",
"2010-04-15 00:00","50",
"2010-04-16 00:00","50",
"2010-04-17 00:00","50",
"2010-04-18 00:00","50",
"2010-04-19 00:00","50",
"2010-04-20 00:00","50",
"2010-04-21 00:00","50",
"2010-04-22 00:00","50",
"2010-04-23 00:00","50",
"2010-04-24 00:00","50",
"2010-04-25 00:00","50",
"2010-04-26 00:00","50",
"2010-04-27 00:00","50",
"2010-04-28 00:00","50",
"2010-04-29 00:00","50",
"2010-04-30 00:00","50",
"2010-05-01 00:00","50",
"2010-05-02 00:00","50",
"2010-05-03 00:00","50",
"2010-05-04 00:00","50",
"2010-05-05 00:00","50",
"2010-05-06 00:00","50",
"2010-05-07 00:00","50",
"2010-05-08 00:00","50",
"2010-05-09 00:00","50",
"2010-05-10 00:00","50",
"2010-05-11 00:00","50",
"2010-05-12 00:00","50",
"2010-05-13 00:00","50",
"2010-05-14 00:00","50",
"2010-05-15 00:00","50",
"2010-05-16 00:00","50",
"2010-05-17 00:00","50",
"2010-05-18 00:00","50",
"2010-05-19 00:00","50",
"2010-05-20 00:00","50",
"2010-05-21 00:00","50",
"2010-05-22 00:00","50",
"2010-05-23 00:00","50",
"2010-05-24 00:00","50",
"2010-05-25 00:00","50",
"2010-05-26 00:00","50",
"2010-05-27 00:00","50",
"2010-05-28 00:00","50",
"2010-05-29 00:00","50",
"2010-05-30 00:00","50",
"2010-05-31 00:00","50",
"2010-06-01 00:00","50",
"2010-06-02 00:00","50",
"2010-06-03 00:00","50",
"2010-06-04 00:00","50",
"2010-06-05 00:00","50",
"2010-06-06 00:00","50",
"2010-06-07 00:00","50",
"2010-06-08 00:00","50",
"2010-06-09 00:00","50",
"2010-06-10 00:00","50",
"2010-06-11 00:00","50",
"2010-06-12 00:00","50",
"2010-06-13 00:00","50",
"2010-06-14 00:00","50",
"2010-06-15 00:00","50",
"2010-06-16 00:00","50",
"2010-06-17 00:00","50",
"2010-06-18 00:00","50",
"2010-06-19 00:00","50",
"2010-06-20 00:00","50",
"2010-06-21 00:00","50",
"2010-06-22 00:00","50",
"2010-06-23 00:00","50",
"2010-06-24 00:00","50",
"2010-06-25 00:00","50",
"2010-06-26 00:00","50",
"2010-06-27 00:00","50",
"2010-06-28 00:00","50",
"2010-06-29 00:00","50",
"2010-06-30 00:00","50",
"2010-07-01 00:00","50",
"2010-07-02 00:00","50",
"2010-07-03 00:00","50",
"2010-07-04 00:00","50",
"2010-07-05 00:00","50",
"2010-07-06 00:00","50",
"2010-07-07 00:00","50",
"2010-07-08 00:00","50",
"2010-07-09 00:00","50",
"2010-07-10 00:00","50",
"2010-07-11 00:00","50",
"2010-07-12 00:00","50",
"2010-07-13 00:00","50",
"2010-07-14 00:00","50",
"2010-07-15 00:00","50",
"2010-07-16 00:00","50",
"2010-07-17 00:00","50",
"2010-07-18 00:00","50",
"2010-07-19 00:00","50",
"2010-07-20 00:00","50",
"2010-07-21 00:00","50",
"2010-07-22 00:00","50",
"2010-07-23 00:00","50",
"2010-07-24 00:00","50",
"2010-07-25 00:00","50",
"2010-07-26 00:00","50",
"2010-07-27 00:00","50",
"2010-07-28 00:00","50",
"2010-07-29 00:00","50",
"2010-07-30 00:00","50",
"2010-07-31 00:00","50",
"2010-08-01 00:00","50",
"2010-08-02 00:00","50",
"2010-08-03 00:00","50",
"2010-08-04 00:00","50",
"2010-08-05 00:00","50",
"2010-08-06 00:00","50",
"2010-08-07 00:00","50",
"2010-08-08 00:00","50",
"2010-08-09 00:00","50",
"2010-08-10 00:00","50",
"2010-08-11 00:00","50",
"2010-08-12 00:00","50",
"2010-08-13 00:00","50",
"2010-08-14 00:00","50",
"2010-08-15 00:00","50",
"2010-08-16 00:00","50",
"2010-08-17 00:00","50",
"2010-08-18 00:00","50",
"2010-08-19 00:00","50",
"2010-08-20 00:00","50",
"2010-08-21 00:00","50",
"2010-08-22 00:00","50",
"2010-08-23 00:00","50",
"2010-08-24 00:00","50",
"2010-08-25 00:00","50",
"2010-08-26 00:00","50",
"2010-08-27 00:00","50",
"2010-08-28 00:00","50",
"2010-08-29 00:00","50",
"2010-08-30 00:00","50",
"2010-08-31 00:00","50",
"2010-09-01 00:00","50",
"2010-09-02 00:00","50",
"2010-09-03 00:00","50",
"2010-09-04 00:00","50",
"2010-09-05 00:00","50",
"2010-09-06 00:00","50",
"2010-09-07 00:00","50",
"2010-09-08 00:00","50",
"2010-09-09 00:00","50",
"2010-09-10 00:00","50",
"2010-09-11 00:00","50",
"2010-09-12 00:00","50",
"2010-09-13 00:00","50",
"2010-09-14 00:00","50",
"2010-09-15 00:00","50",
"2010-09-16 00:00","50",
"2010-09-17 00:00","50",
"2010-09-18 00:00","50",
"2010-09-19 00:00","50",
"2010-09-20 00:00","50",
"2010-09-21 00:00","50",
"2010-09-22 00:00","50",
"2010-09-23 00:00","50",
"2010-09-24 00:00","50",
"2010-09-25 00:00","50",
"2010-09-26 00:00","50",
"2010-09-27 00:00","50",
"2010-09-28 00:00","50",
"2010-09-29 00:00","50",
"2010-09-30 00:00","50",
"2010-10-01 00:00","50",
"2010-10-02 00:00","50",
"2010-10-03 00:00","50",
"2010-10-04 00:00","50",
"2010-10-05 00:00","50",
"2010-10-06 00:00","50",
"2010-10-07 00:00","50",
"2010-10-08 00:00","50",
"2010-10-09 00:00","50",
"2010-10-10 00:00","50",
"2010-10-11 00:00","50",
"2010-10-12 00:00","50",
"2010-10-13 00:00","50",
"2010-10-14 00:00","50",
"2010-10-15 00:00","50",
"2010-10-16 00:00","50",
"2010-10-17 00:00","50",
"2010-10-18 00:00","50",
"2010-10-19 00:00","50",
"2010-10-20 00:00","50",
"2010-10-21 00:00","50",
"2010-10-22 00:00","50",
"2010-10-23 00:00","50",
"2010-10-24 00:00","50",
"2010-10-25 00:00","50",
"2010-10-26 00:00","50",
"2010-10-27 00:00","50",
"2010-10-28 00:00","50",
"2010-10-29 00:00","50",
"2010-10-30 00:00","50",
"2010-10-31 00:00","50",
"2010-11-01 00:00","50",
"2010-11-02 00:00","50",
"2010-11-03 00:00","50",
"2010-11-04 00:00","50",
"2010-11-05 00:00","50",
"2010-11-06 00:00","50",
"2010-11-07 00:00","50",
"2010-11-08 00:00","50",
"2010-11-09 00:00","50",
"2010-11-10 00:00","50",
"2010-11-11 00:00","50",
"2010-11-12 00:00","50",
"2010-11-13 00:00","50",
"2010-11-14 00:00","50",
"2010-11-15 00:00","50",
"2010-11-16 00:00","50",
"2010-11-17 00:00","50",
"2010-11-18 00:00","50",
"2010-11-19 00:00","50.4",
"2010-11-20 00:00","50",
"2010-11-21 00:00","50",
"2010-11-22 00:00","50",
"2010-11-23 00:00","50",
"2010-11-24 00:00","50",
"2010-11-25 00:00","53.9",
"2010-11-26 00:00","50",
"2010-11-27 00:00","50",
"2010-11-28 00:00","50",
"2010-11-29 00:00","50",
"2010-11-30 00:00","50",
"2010-12-01 00:00","50",
"2010-12-02 00:00","50",
"2010-12-03 00:00","50",
"2010-12-04 00:00","50",
"2010-12-05 00:00","50",
"2010-12-06 00:00","50",
"2010-12-07 00:00","50",
"2010-12-08 00:00","50",
"2010-12-09 00:00","50",
"2010-12-10 00:00","50",
"2010-12-11 00:00","50",
"2010-12-12 00:00","50",
"2010-12-13 00:00","50",
"2010-12-14 00:00","50",
"2010-12-15 00:00","50",
"2010-12-16 00:00","50",
"2010-12-17 00:00","50",
"2010-12-18 00:00","50",
"2010-12-19 00:00","50",
"2010-12-20 00:00","4624.36",
"2010-12-21 00:00","50",
"2010-12-22 00:00","50",
"2010-12-23 00:00","50",
"2010-12-24 00:00","50",
"2010-12-25 00:00","50",
"2010-12-26 00:00","50",
"2010-12-27 00:00","50",
"2010-12-28 00:00","50",
"2010-12-29 00:00","50",
"2010-12-30 00:00","50",
"2010-12-31 00:00","50",
"2011-01-01 00:00","50",
"2011-01-02 00:00","50",
"2011-01-03 00:00","50",
"2011-01-04 00:00","50",
"2011-01-05 00:00","50",
"2011-01-06 00:00","50",
"2011-01-07 00:00","50",
"2011-01-08 00:00","50",
"2011-01-09 00:00","50",
"2011-01-10 00:00","50",
"2011-01-11 00:00","273.765",
"2011-01-12 00:00","50",
"2011-01-13 00:00","50",
"2011-01-14 00:00","50",
"2011-01-15 00:00","50",
"2011-01-16 00:00","50",
"2011-01-17 00:00","50",
"2011-01-18 00:00","50",
"2011-01-19 00:00","50",
"2011-01-20 00:00","50",
"2011-01-21 00:00","50",
"2011-01-22 00:00","467.48",
"2011-01-23 00:00","50",
"2011-01-24 00:00","50",
"2011-01-25 00:00","50",
"2011-01-26 00:00","50",
"2011-01-27 00:00","50",
"2011-01-28 00:00","50",
"2011-01-29 00:00","50",
"2011-01-30 00:00","2720.575",
"2011-01-31 00:00","471.9",
"2011-02-01 00:00","50",
"2011-02-02 00:00","50",
"2011-02-03 00:00","50",
"2011-02-04 00:00","50",
"2011-02-05 00:00","50",
"2011-02-06 00:00","50",
"2011-02-07 00:00","50",
"2011-02-08 00:00","50",
"2011-02-09 00:00","50",
"2011-02-10 00:00","408.025",
"2011-02-11 00:00","1620.715",
"2011-02-12 00:00","50",
"2011-02-13 00:00","50",
"2011-02-14 00:00","477.875",
"2011-02-15 00:00","50",
"2011-02-16 00:00","50",
"2011-02-17 00:00","476.05",
"2011-02-18 00:00","477.57",
"2011-02-19 00:00","3607.4",
"2011-02-20 00:00","2030.185",
"2011-02-21 00:00","310.275",
"2011-02-22 00:00","3264.41",
"2011-02-23 00:00","385.16",
"2011-02-24 00:00","469.29",
"2011-02-25 00:00","475.8",
"2011-02-26 00:00","446.42",
"2011-02-27 00:00","1737.71",
"2011-02-28 00:00","269.925",
"2011-03-01 00:00","255.925",
"2011-03-02 00:00","12843.65",
"2011-03-03 00:00","1139.5483",
"2011-03-04 00:00","264.64",
"2011-03-05 00:00","433.88",
"2011-03-06 00:00","1587.415",
"2011-03-07 00:00","369.12",
"2011-03-08 00:00","485.43",
"2011-03-09 00:00","2103.285",
"2011-03-10 00:00","1814.895",
"2011-03-11 00:00","485.01318",
"2011-03-12 00:00","329.975",
"2011-03-13 00:00","395.84",
"2011-03-14 00:00","452.48",
"2011-03-15 00:00","2482.35",
"2011-03-16 00:00","2710.165",
"2011-03-17 00:00","439.4",
"2011-03-18 00:00","391.88",
"2011-03-19 00:00","446.43",
"2011-03-20 00:00","4560.64",
"2011-03-21 00:00","391.22623",
"2011-03-22 00:00","2904.75",
"2011-03-23 00:00","292.7",
"2011-03-24 00:00","245.56",
"2011-03-25 00:00","243.13",
"2011-03-26 00:00","3576.41",
"2011-03-27 00:00","3334.31",
"2011-03-28 00:00","431.59",
"2011-03-29 00:00","4243.19",
"2011-03-30 00:00","485.955",
"2011-03-31 00:00","392.44",
"2011-04-01 00:00","498.435",
"2011-04-02 00:00","356.825",
"2011-04-03 00:00","377.4",
"2011-04-04 00:00","418.165",
"2011-04-05 00:00","410.4505",
"2011-04-06 00:00","352.05",
"2011-04-07 00:00","324.72",
"2011-04-08 00:00","335.022",
"2011-04-09 00:00","368.34",
"2011-04-10 00:00","352.87",
"2011-04-11 00:00","397.36",
"2011-04-12 00:00","3662.8704",
"2011-04-13 00:00","1707.1384",
"2011-04-14 00:00","19467.4",
"2011-04-15 00:00","352.305",
"2011-04-16 00:00","358.34",
"2011-04-17 00:00","211253.33",
"2011-04-18 00:00","315.575",
"2011-04-19 00:00","421.87",
"2011-04-20 00:00","184093.75",
"2011-04-21 00:00","33037.29",
"2011-04-22 00:00","332.205",
"2011-04-23 00:00","1830.255",
"2011-04-24 00:00","299.375",
"2011-04-25 00:00","1959.7609",
"2011-04-26 00:00","3316.06",
"2011-04-27 00:00","383.59",
"2011-04-28 00:00","405.915",
"2011-04-29 00:00","357.255",
"2011-04-30 00:00","331.21",
"2011-05-01 00:00","3061.99",
"2011-05-02 00:00","314.7397",
"2011-05-03 00:00","2475.0706",
"2011-05-04 00:00","3913.862",
"2011-05-05 00:00","390.33",
"2011-05-06 00:00","344.97",
"2011-05-07 00:00","397.43573",
"2011-05-08 00:00","393.45264",
"2011-05-09 00:00","342.53357",
"2011-05-10 00:00","325.3",
"2011-05-11 00:00","461.6",
"2011-05-12 00:00","357.93",
"2011-05-13 00:00","333.93665",
"2011-05-14 00:00","385.8285",
"2011-05-15 00:00","445.8584",
"2011-05-16 00:00","312.31",
"2011-05-17 00:00","357.88525",
"2011-05-18 00:00","1878.931",
"2011-05-19 00:00","3381.1057",
"2011-05-20 00:00","1929.7114",
"2011-05-21 00:00","3683.6355",
"2011-05-22 00:00","1877.9434",
"2011-05-23 00:00","323.8496",
"2011-05-24 00:00","3364.0354",
"2011-05-25 00:00","3132.7163",
"2011-05-26 00:00","1799.2885",
"2011-05-27 00:00","283074.2",
"2011-05-28 00:00","2545.9297",
"2011-05-29 00:00","3306.5088",
"2011-05-30 00:00","1770.5393",
"2011-05-31 00:00","1469.651",
"2011-06-01 00:00","2603.5334",
"2011-06-02 00:00","2518.4429",
"2011-06-03 00:00","2574.3032",
"2011-06-04 00:00","2619.1716",
"2011-06-05 00:00","2974.935",
"2011-06-06 00:00","368.435",
"2011-06-07 00:00","3643.1445",
"2011-06-08 00:00","2666.768",
"2011-06-09 00:00","18184.205",
"2011-06-10 00:00","3358.8494",
"2011-06-11 00:00","3109.485",
"2011-06-12 00:00","4061.0098",
"2011-06-13 00:00","38989.047",
"2011-06-14 00:00","3425.7195",
"2011-06-15 00:00","3659.6216",
"2011-06-16 00:00","16000.75",
"2011-06-17 00:00","3729.806",
"2011-06-18 00:00","4491.232",
"2011-06-19 00:00","47701.64",
"2011-06-20 00:00","2291.1003",
"2011-06-21 00:00","3832.1084",
"2011-06-22 00:00","4466.823",
"2011-06-23 00:00","2511.819",
"2011-06-24 00:00","4043.4727",
"2011-06-25 00:00","51715.297",
"2011-06-26 00:00","37211.047",
"2011-06-27 00:00","419.80795",
"2011-06-28 00:00","246074.22",
"2011-06-29 00:00","3225.594",
"2011-06-30 00:00","299.89236",
"2011-07-01 00:00","26281.754",
